371,446
436,446
436,442
371,442
1464,1639
1601,1639
1503,1601
1464,1503
1439,1664
1639,1664
1464,1639
1439,1464
1744,1917
1877,1917
1784,1877
1744,1784
1246,1784
1784,1877
153,1877
153,1246
21,1003
1003,1246
153,1246
21,153
1021,1815
1784,1815
1246,1784
1021,1246
143,776
143,497
497,1977
776,1977
423,1569
423,459
459,1816
1569,1816
21,690
690,1537
1503,1537
21,1503
1003,1601
21,1003
21,1503
1503,1601
21,153
153,1152
690,1152
21,690
371,442
442,1699
767,1699
371,767
1003,1601
1567,1601
1052,1567
1003,1052
1003,1052
1021,1052
1021,1246
1003,1246
767,1977
1944,1977
1717,1944
767,1717
690,1052
1052,1567
1537,1567
690,1537
690,1152
1021,1152
1021,1052
690,1052
2158,2159
1699,2159
776,1699
776,2158
371,767
767,1717
446,1717
371,446
776,1699
1664,1699
1439,1664
776,1439
776,1439
391,1439
143,391
143,776
396,404
404,478
478,486
396,486
391,396
396,486
486,491
391,491
423,431
431,451
451,459
423,459
143,391
391,491
491,497
143,497
1021,1152
1152,1845
1815,1845
1021,1815
153,1877
1845,1877
1152,1845
153,1152
1538,1569
1569,1816
1816,1846
1538,1846
404,1538
1538,1846
478,1846
404,478
431,436
436,446
446,451
431,451
1717,1944
1917,1944
1744,1917
1717,1744
1977,2090
767,1977
767,2097
2090,2097
2090,2097
2097,2159
2158,2159
2090,2158
1439,1464
396,1464
391,396
391,1439
1464,1503
404,1503
396,404
396,1464
404,1503
1503,1537
1537,1538
404,1538
1537,1538
1537,1567
1567,1569
1538,1569
1567,1569
1567,1601
423,1601
423,1569
431,1639
423,431
423,1601
1601,1639
431,1639
1639,1664
436,1664
431,436
436,1664
1664,1699
442,1699
436,442
1717,1744
451,1744
446,451
446,1717
1744,1784
459,1784
451,459
451,1744
1815,1816
459,1816
459,1784
1784,1815
1815,1845
1845,1846
1816,1846
1815,1816
1845,1877
478,1877
478,1846
1845,1846
486,1917
478,486
478,1877
1877,1917
486,1917
1917,1944
491,1944
486,491
491,1944
1944,1977
497,1977
491,497
2166,2169
2169,2199
2198,2199
2166,2198
2166,2191
2191,2193
2169,2193
2166,2169
2184,2185
2185,2193
2191,2193
2184,2191
2184,2185
2184,2198
2198,2199
2185,2199
776,2166
776,1977
1977,2191
2166,2191
2166,2198
2158,2198
776,2158
776,2166
2169,2193
767,2193
767,1699
1699,2169
2159,2199
2169,2199
1699,2169
1699,2159
2090,2184
2184,2191
1977,2191
1977,2090
2097,2185
767,2097
767,2193
2185,2193
2090,2158
2158,2198
2184,2198
2090,2184
2097,2185
2185,2199
2159,2199
2097,2159
